"Source title";"CiteScore";"Highest percentile";"2020-23 Citations";"2020-23 Documents";"% Cited";"SNIP";"SJR";"Publisher"
"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales - Serie A: Matematicas";4,7;"99.0%
1/119
Algebra and Number Theory";3563;753;66;1,343;0,906;"Springer Nature"
"Review of Economic Studies";10,4;"93.0%
49/716
Economics and Econometrics";3564;343;88;4,536;13,609;"Oxford University Press"
"Hydrology";4,9;"77.0%
40/179
Earth-Surface Processes";3565;725;76;0,952;0,676;"Multidisciplinary Digital Publishing Institute (MDPI)"
"Journal of Taibah University for Science";6,6;"97.0%
10/399
General Mathematics";3568;539;73;1,049;0,461;"Taylor & Francis"
"Progress in Natural Science: Materials International";8,6;"80.0%
92/463
General Materials Science";3569;415;81;1,141;1,025;"Elsevier"
"Chinese Traditional and Herbal Drugs";1,1;"33.0%
122/183
Pharmaceutical Science";3569;3234;45;0,267;0,169;"Editorial Office of Chinese Traditional and Herbal Drugs"
"Experimental Brain Research";3,6;"35.0%
73/113
General Neuroscience";3569;987;73;0,755;0,613;"Springer Nature"
"Computer Speech and Language";11,3;"94.0%
8/130
Theoretical Computer Science";3573;315;85;1,994;1,05;"Elsevier"
"Journal of Biomaterials Science, Polymer Edition";7,1;"80.0%
30/152
Biophysics";3575;501;86;0,618;0,595;"Taylor & Francis"
"Cogent Engineering";4;"70.0%
92/307
General Engineering";3575;893;70;0,907;0,428;"Cogent OA"
"Journal of Applied Geophysics";3,6;"66.0%
56/165
Geophysics";3577;982;70;1,052;0,597;"Elsevier"
"Journal of Real-Time Image Processing";6,8;"73.0%
103/394
Information Systems";3578;530;80;1,092;0,698;"Springer Nature"
"Clinical Cardiology";5,1;"70.0%
116/387
Cardiology and Cardiovascular Medicine";3579;705;77;0,914;0,878;"John Wiley & Sons"
"Particle and Fibre Toxicology";15,9;"97.0%
4/133
Toxicology";3581;225;85;1,52;2,019;"Springer Nature"
"Organization Studies";11,5;"95.0%
11/230
Organizational Behavior and Human Resource Management";3581;311;90;3,064;5,349;"SAGE"
"Medical Oncology";4,2;"54.0%
63/137
Hematology";3581;844;73;0,623;0,763;"Springer Nature"
"Journal of Comparative Neurology";5,8;"58.0%
47/113
General Neuroscience";3582;617;83;0,793;1,218;"John Wiley & Sons"
"Clinical and Experimental Pharmacology and Physiology";6,2;"70.0%
34/113
Physiology (medical)";3583;581;83;0,585;0,61;"John Wiley & Sons"
"Steel Research International";3,3;"64.0%
63/176
Metals and Alloys";3583;1093;69;0,956;0,5;"John Wiley & Sons"
"European Economic Review";4,7;"74.0%
81/317
Finance";3585;761;71;1,805;2,251;"Elsevier"
"Journal of Intelligent Material Systems and Structures";5,4;"75.0%
164/672
Mechanical Engineering";3585;661;83;0,952;0,598;"SAGE"
"Journal of Clinical Anesthesia";7,4;"88.0%
16/136
Anesthesiology and Pain Medicine";3587;487;78;1,501;1,082;"Elsevier"
"Chemical Research in Chinese Universities";5,3;"65.0%
143/408
General Chemistry";3590;678;77;0,413;0,62;"Springer Nature"
"International Journal of Educational Research";6,2;"88.0%
183/1543
Education";3591;577;75;1,798;1,06;"Elsevier"
"Journal of Paediatrics and Child Health";2,9;"56.0%
145/330
Pediatrics, Perinatology and Child Health";3591;1247;59;0,651;0,499;"John Wiley & Sons"
"Carbon Letters";7,3;"82.0%
14/79
Inorganic Chemistry";3594;494;82;1,129;0,855;"Korean Carbon Society"
"Journal of Clinical Psychology";5,4;"90.0%
54/552
Arts and Humanities (miscellaneous)";3595;665;78;1,232;1,133;"John Wiley & Sons"
"General and Comparative Endocrinology";5,6;"92.0%
35/490
Animal Science and Zoology";3595;637;83;0,794;0,616;"Elsevier"
"Ear and Hearing";5,9;"99.0%
1/66
Speech and Hearing";3598;607;80;1,542;1,177;"Wolters Kluwer Health"
"Tourism Economics";9,3;"93.0%
51/821
Geography, Planning and Development";3598;387;90;1,664;1,257;"SAGE"
"European Journal of Medical Research";3,2;"74.0%
161/636
General Medicine";3600;1120;52;0,818;0,736;"Springer Nature"
"Coral Reefs";6,8;"90.0%
25/247
Aquatic Science";3602;526;84;0,89;0,89;"Springer Nature"
"Burns";4,5;"80.0%
22/109
Emergency Medicine";3603;809;78;1,117;0,682;"Elsevier"
"BMC Palliative Care";4,6;"82.0%
113/636
General Medicine";3605;783;74;1,245;0,907;"Springer Nature"
"Modern Physics Letters A";3,1;"54.0%
40/87
Nuclear and High Energy Physics";3607;1174;64;0,494;0,404;"World Scientific"
"Human and Experimental Toxicology";5,7;"63.0%
55/148
Health, Toxicology and Mutagenesis";3607;631;84;0,721;0,621;"SAGE"
"World Journal of Pediatrics";10,5;"97.0%
9/330
Pediatrics, Perinatology and Child Health";3607;343;79;1,154;0,91;"Zhejiang University School of Medicine Children's Hospital"
"Nano-Structures and Nano-Objects";9,2;"89.0%
45/434
Condensed Matter Physics";3610;392;74;0,947;0,736;"Elsevier"
"Journal of Bionic Engineering";7,1;"78.0%
33/152
Biophysics";3610;512;82;1,272;0,731;"Science China Press"
"Journal of the Textile Institute";4,2;"74.0%
56/221
General Agricultural and Biological Sciences";3611;866;79;0,779;0,39;"Taylor & Francis"
"Journal of Diabetes and Metabolic Disorders";4,8;"64.0%
60/167
Internal Medicine";3611;753;71;0,762;0,599;"Springer Nature"
"Journal of Orthopaedic Trauma";3,9;"75.0%
135/551
Surgery";3613;924;67;1,273;0,965;"Wolters Kluwer Health"
"Molecular Plant-Microbe Interactions";7;"86.0%
54/406
Agronomy and Crop Science";3613;519;86;0,865;0,932;"American Phytopathological Society"
"Advances in Radiation Oncology";4,6;"65.0%
117/333
Radiology, Nuclear Medicine and Imaging";3614;794;72;0,757;0,728;"Elsevier"
"Journal of Business Venturing";16,7;"97.0%
7/289
Management of Technology and Innovation";3614;216;91;3,045;4,813;"Elsevier"
"Resources Science";4,7;"81.0%
45/242
Economics, Econometrics and Finance (miscellaneous)";3614;764;77;1,077;"N/A";"Editorial Department of Resources Science"
"Updates in Surgery";4,5;"79.0%
111/551
Surgery";3615;811;74;0,978;0,758;"Springer Nature"
"Microbes and Infection";12,6;"91.0%
16/182
Microbiology";3615;287;75;0,625;0,832;"Elsevier"
"Supply Chain Management";16,7;"98.0%
3/218
General Business, Management and Accounting";3615;216;91;2,275;2,507;"Emerald Publishing"
"Biomedical Chromatography";3,6;"48.0%
81/156
Analytical Chemistry";3616;1000;75;0,634;0,384;"John Wiley & Sons"
"JPhys Energy";10,9;"90.0%
31/317
Materials Chemistry";3616;331;81;1,282;1,661;"Institute of Physics Publishing"
"Transplant International";4,7;"69.0%
17/54
Transplantation";3617;773;73;0,929;0,899;"Frontiers Media S.A."
"Journal of Geographical Sciences";7,9;"92.0%
13/159
Earth and Planetary Sciences (miscellaneous)";3618;460;81;1,156;1,101;"Science China Press"
"Structural Engineering and Mechanics";3,8;"64.0%
79/223
Building and Construction";3619;954;64;0,629;0,382;"Techno Press"
"Australian and New Zealand Journal of Psychiatry";8;"86.0%
79/567
Psychiatry and Mental Health";3619;455;84;1,548;1,643;"SAGE"
"European Journal of Clinical Pharmacology";5,4;"66.0%
92/272
Pharmacology (medical)";3619;675;78;0,99;0,727;"Springer Nature"
"Computational Biology and Chemistry";6,1;"85.0%
27/189
Computational Mathematics";3620;596;78;0,782;0,497;"Elsevier"
"Journal of Medical Microbiology";5,5;"56.0%
62/140
Microbiology (medical)";3620;659;73;0,769;0,752;"Microbiology Society"
"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring";7,8;"85.0%
82/567
Psychiatry and Mental Health";3620;462;80;1,102;1,636;"John Wiley & Sons"
"Particuology";6,7;"74.0%
71/273
General Chemical Engineering";3621;543;89;1,023;0,627;"Elsevier"
"European Journal of Information Systems";23,1;"99.0%
2/280
Library and Information Sciences";3622;157;94;3,766;3,824;"Taylor & Francis"
"Social Cognitive and Affective Neuroscience";8;"94.0%
10/165
Experimental and Cognitive Psychology";3622;450;82;1,409;1,635;"Oxford University Press"
"Sedimentology";8,2;"95.0%
3/55
Stratigraphy";3624;440;90;1,201;1,289;"John Wiley & Sons"
"Ecology and Society";6,2;"83.0%
77/461
Ecology";3625;586;76;1,024;1,065;"The Resilience Alliance"
"International Journal of Mental Health Nursing";7,6;"92.0%
4/45
Psychiatric Mental Health";3625;479;78;1,668;1,572;"John Wiley & Sons"
"Earth System Dynamics";13,2;"96.0%
7/195
General Earth and Planetary Sciences";3625;274;83;1,832;3,154;"Copernicus Publications"
"NAR Genomics and Bioinformatics";8;"95.0%
28/635
Applied Mathematics";3626;456;74;1,119;2,454;"Oxford University Press"
"Transplantation Proceedings";1,7;"47.0%
288/551
Surgery";3626;2093;55;0,398;0,318;"Elsevier"
"Computing";8,2;"95.0%
9/189
Computational Mathematics";3626;440;80;1,359;0,97;"Springer Nature"
"Optics Continuum";3,5;"51.0%
384/797
Electrical and Electronic Engineering";3627;1049;68;"N/A";"N/A";"Optica Publishing Group (formerly OSA)"
"npj Climate and Atmospheric Science";8,8;"84.0%
23/148
Atmospheric Science";3629;414;67;2,07;2,946;"Springer Nature"
"Translational Neurodegeneration";19,5;"98.0%
2/115
Cognitive Neuroscience";3631;186;90;2,374;3,371;"Springer Nature"
