Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Cancer Discovery,0.5595370629254002,0.09728725263624657,47.647321428571445,36.24559049727546,2.9247752126088575,36.212486018305086
Nature Cardiovascular Research,0.3598751891818327,0.06346153846153846,4.714285714285714,4.220238095238095,1.8452380952380953,35.58333333333333
Radio Graphics,0.07547824993657745,0.08192458648724416,15.149999999999993,25.82418991801228,0.13385814668423365,35.17335259189469
Proceedings of the National Academy of Sciences of the United States of America,0.9587221896419548,0.01688579954329587,63.21978021978018,42.33369989909646,8.138762418382226,34.955087846077326
The Lancet HIV,0.47272255454791157,0.02165278800147222,3.615384615384615,52.96025641025641,2.6256410256410256,34.92564102564102
Science Signaling,0.5191183546166173,0.05279096791662486,9.225913621262457,31.131945217165537,1.719228700715849,34.756912762879715
Evolution and Human Behavior,0.47163828982093914,0.03947368421052632,2.5714285714285716,12.859999999999998,0.8666666666666666,33.92666666666666
Journal of Intensive Medicine,1,0.2028985507246377,4,5.2351190476190474,0.125,33.78422619047619
Trends in Immunology,0.4929275486832341,0.07506053268765134,8.85714285714286,35.86336233211233,0.9502442002442003,33.566353785103786
Nature Structural & Molecular Biology,0.6554323989700322,0.03194688326846917,6.038095238095238,51.03126743626743,4.4089898989898995,33.51344877344877
Developmental Cell,0.9007144520230996,0.03800928084936968,9.75510204081633,37.913898259550436,3.1802131903063584,32.879968392546026
Research Involvement and Engagement,1,0.03558052434456928,2.714285714285715,11.994047619047619,0.47023809523809523,32.86309523809524
Microbiology and Molecular Biology Reviews,0.9047619047619048,0.11290322580645161,2,33.67063492063492,0.7142857142857143,32.32142857142858
Journal of the American College of Emergency Physicians Open,1,0.030807660283097418,5.285714285714286,5.178571428571428,0.3487394957983193,32.16386554621849
Gut,0.6524058900988055,0.07202509297010962,44.95464852607709,27.1871439397657,3.0274419276065,32.00417534675775
Cell Systems,0.9321600319572265,0.06334841628959276,6,36.02222222222222,1.7868686868686867,31.93737373737374
International Journal of Stroke,0.42838916696981005,0.02267818574514039,3,17.711904761904766,0.5071428571428571,31.73095238095238
Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,0.9286741674299419,0.028766455387615797,8.42857142857143,37.64584398976982,3.0105072463768114,31.665174765558397
Journal of Health Economics,0.6108757988061002,0.030981067125645436,2.5714285714285716,18.435185185185183,0.7962962962962963,31.555555555555557
The Lancet Regional Health - Americas,1,0.06463414634146342,7.57142857142857,9.189814814814815,3.437037037037037,31.512962962962963
JACC Basic to Translational Science,1,0.07425742574257424,10.71428571428571,27.009941520467837,1.3999634502923977,31.36695906432749
The Lancet Planetary Health,1,0.040250447227191406,6.428571428571429,34.48375,14.126249999999999,31.36625
Drug Safety,0.6318298771823795,0.050666666666666645,5.42857142857143,22.809222661396575,0.19552042160737812,31.231093544137025
Microbes and Infection,0.6443162303400274,0.2134453781512605,18.142857142857142,18.81718961508048,0.05808862620008131,31.199091059868934
Archives of Disease in Childhood - Fetal and Neonatal Edition,0.3851232874935242,0.09292502639915523,12.571428571428571,15.935059713678136,0.07690058479532164,31.156554264449
Health Affairs,0.39286894789164173,0.0073277967757694185,2.1428571428571423,9.53623188405797,6.71376811594203,31.07971014492753
Integrative Organismal Biology,1,0.05660377358490566,1.7142857142857142,30.333333333333332,0,31.055555555555557
Internal and Emergency Medicine,0.4072812008090913,0.0409582689335394,11.35714285714286,21.162862010397898,2.6795595393442286,30.420621724766463
Kidney International,0.6607422289136549,0.04966101694915256,20.92857142857143,21.915292213231183,0.40959190843235455,30.11796617920265
The AMA Journal of Ethic,0.9942407918363771,0.02109704641350211,2.8571428571428568,5.756944444444445,0.2222222222222222,30.009259259259256
Tumori Journal,0.2878776027231116,0.20000000000000012,19.571428571428577,4.916395033931266,0.658788170962084,29.995444281821083
Kidney360,0.9947890818858561,0.03068295295412919,5.027649769585253,5.872136465684854,0.4454899938770906,29.85545851997465
GeroScience,0.9589057171146724,0.023666414893595413,3.8378378378378377,16.83835263835264,0.48481338481338476,29.82187902187902
Biological Reviews,0.6415285708314463,0.03333333333333333,2.9285714285714284,40.017857142857146,2.5401785714285716,29.72321428571429
PharmaNutrition,0.23461002011364987,0.06329113924050633,2.1428571428571423,10.763157894736842,1.263157894736842,29.56578947368421
Emergency Medicine Clinics of North America,0.0602416551905043,0.06936416184971096,3.4285714285714284,10.24102564102564,0.12564102564102564,29.433333333333334
Vaccine X,1,0.10612244897959179,7.42857142857143,8.968757631257628,0.23846153846153847,29.282074175824178
Neurology Neuroimmunology & Neuroinflammation,1,0.20600414078674947,28.428571428571427,26.798620459673092,1.215813754761123,29.06105405579089
Therapeutic Advances in Chronic Disease,1,0.08587352721957134,6.046082949308757,12.259384904223612,0.0928293092809222,29.019575275381737
Heart,0.4473213505378089,0.04281150577685615,21.86335403726708,9.04662012405136,0.46439920136989293,28.995903225812448
Molecular Biology and Evolution,0.9848345686150758,0.013923421183490799,4,15.842171717171716,8.919047619047621,28.857251082251082
Nature Reviews Molecular Cell Biology,0.5218657159216832,0.021922428330522766,1.8571428571428572,125.75,0.5119047619047619,28.642857142857142
Tobacco Control,0.6280735162764659,0.6815240833932422,135.4285714285714,14.572368632808589,4.784665748217019,28.24344437795146
Emerging Infectious Diseases,1,0.2627931769722815,140.85714285714286,15.076372293136126,2.098593061841982,28.20221264950659
Neuropsychopharmacology,0.8906665766191667,0.014196215379589813,3.7654584221748393,22.98619026081713,1.7313734358510475,28.083069500979953
Cannabis and Cannabinoid Research,0.6353608431046767,0.046793760831889075,3.857142857142857,14.370748299319727,4.460884353741496,28.023809523809526
Journal of NeuroInterventional Surgery,0.4011071006398489,0.0355181252288539,13.85714285714286,12.472489494897523,0.6752465483234713,27.894927536231883
Vaccines,1,0.05242163322682353,56.67857142857142,10.786564458128293,0.3324644016359677,27.86051360026041
Sports,1,0.015767634854771784,2.714285714285715,13.5,4.383333333333333,27.758333333333336
The ISME Journal: Multidisciplinary Journal of Microbial Ecology,0.9611562049062049,0.018790369935408103,4.57142857142857,30.159438775510207,1.3137755102040816,27.715561224489793
Open Journal of Anesthesiology,1,0.0710382513661202,1.8571428571428572,0.9166666666666666,0,27.694444444444443
Parasite,1,0.13457556935817805,9.285714285714286,11.914652477152478,0.010101010101010102,27.690632515632515
Trends in Plant Science,0.3683519048780677,0.052586938083121294,8.857142857142858,79.90224775224775,0.3337995337995338,27.66293706293706
